date,forecast_engagement,trend_direction,model_mae,model_rmse
2024-04-29,4.588012172703959,Stable,0.6692888426111652,0.8126842969989094
2024-04-30,4.5910045887697475,Stable,0.6692888426111652,0.8126842969989094
2024-05-01,4.593997004835536,Stable,0.6692888426111652,0.8126842969989094
2024-05-02,4.596989420901325,Stable,0.6692888426111652,0.8126842969989094
2024-05-03,4.599981836967114,Stable,0.6692888426111652,0.8126842969989094
2024-05-04,4.602974253032903,Stable,0.6692888426111652,0.8126842969989094
2024-05-05,4.605966669098692,Stable,0.6692888426111652,0.8126842969989094
2024-05-06,4.60895908516448,Stable,0.6692888426111652,0.8126842969989094
2024-05-07,4.611951501230269,Stable,0.6692888426111652,0.8126842969989094
2024-05-08,4.614943917296058,Stable,0.6692888426111652,0.8126842969989094
2024-05-09,4.617936333361847,Stable,0.6692888426111652,0.8126842969989094
2024-05-10,4.620928749427636,Stable,0.6692888426111652,0.8126842969989094
2024-05-11,4.6239211654934245,Stable,0.6692888426111652,0.8126842969989094
2024-05-12,4.626913581559212,Stable,0.6692888426111652,0.8126842969989094
